Cereal Name,Manufacturer,Calories,Protein (g)
Rep. Eddie Johnson,2,5.166998434,11.89123378
Rep. Edolphus “Ed” Towns,4,-23.31440871,16.89131214
Rep. Edward “Ed” Markey,4,-26.18455613,15.30775885
Rep. Edward “Ed” Royce,1,3.460264196,-14.48796158
Rep. Edward “Scott” Rigell,0,-4.713978654,-14.24093837
Rep. Elaine Luria,5,9.509310017,-2.505421596
Rep. Elijah Cummings,3,3.487141399,13.86682095
Rep. Eliot Engel,2,4.815720551,11.81226955
Rep. Elise Stefanik,6,20.84320162,-12.3778578
Rep. Elissa Slotkin,5,9.359981385,-2.043772403
Rep. Elizabeth Esty,3,7.523763682,19.61480324
Rep. Elton Gallegly,7,-38.64300592,-8.074836968
Rep. Emanuel Cleaver II,2,5.386420621,11.73343496
Rep. Eric “Rick” Crawford,1,4.028065046,-11.59630553
Rep. Eric Cantor,7,-32.89879941,-5.934320438
Rep. Eric Swalwell,2,7.20160753,12.49025479
Rep. Erik Paulsen,1,3.02301882,-14.81902397
Rep. Evan Jenkins,6,24.23255435,-21.62140698
Rep. Filemon Vela,2,8.812825186,12.38874989
Rep. Fortney “Pete” Stark,4,-27.23126484,12.63986705
Rep. Francis Rooney,6,18.19283369,-12.4446293
Rep. Francisco “Quico” Canseco,7,-38.67697718,-8.721485042
Rep. Frank Guinta,1,9.981678895,-19.13843842
Rep. Frank LoBiondo,1,2.9416707,-15.67133461
Rep. Frank Lucas,1,4.035550917,-11.30031663
Rep. Frank Pallone Jr.,2,4.775781374,11.82972312
Rep. Frank Wolf,7,-33.8255236,-6.546872094
Rep. Fred Keller,2,11.341985,20.18765003
Rep. Fred Upton,1,4.232036409,-10.34207716
Rep. Frederica Wilson,2,3.774131457,11.94013824
Rep. French Hill,6,20.85462634,-12.83991091
Rep. Gabrielle Giffords,3,6.003912654,53.20720659
Rep. Garland “Andy” Barr,1,8.384030069,-10.59840065
Rep. Garret Graves,6,20.85113837,-14.14023111
Rep. Gary Ackerman,4,-24.27352258,14.90566191
Rep. Gary Miller,7,-34.60086888,-6.988788217
Rep. Gary Palmer,6,21.10782016,-14.03363695
Rep. Gary Peters,4,-20.28041456,17.60847387
Rep. Gene Green,3,3.659821765,18.15770949
Rep. Geoff Davis,7,-42.06604641,-9.521416239
Rep. George “G.K.” Butterfield Jr.,2,5.573813561,11.71629393
Rep. George Holding,1,8.734058273,-12.41672704
